,precision,recall,f1-score,support
T-shirt/top,0.8601735776277725,0.892,0.8757977417771232,1000.0
Trouser,0.990909090909091,0.981,0.985929648241206,1000.0
Pullover,0.9089935760171306,0.849,0.8779731127197518,1000.0
Dress,0.8912639405204461,0.959,0.9238921001926782,1000.0
Coat,0.8407643312101911,0.924,0.8804192472606003,1000.0
Sandal,0.9898270600203459,0.973,0.9813414019162885,1000.0
Shirt,0.8269896193771626,0.717,0.7680771290840921,1000.0
Sneaker,0.961,0.961,0.961,1000.0
Bag,0.9909456740442656,0.985,0.9879638916750251,1000.0
Ankle boot,0.9558823529411765,0.975,0.9653465346534653,1000.0
accuracy,0.9216,0.9216,0.9216,0.9216
macro avg,0.9216749222667581,0.9216,0.9207740807520229,10000.0
weighted avg,0.9216749222667582,0.9216,0.9207740807520229,10000.0
